Name,Area/Region,Section,Metres,Feet,Latitude,Longitude
Beinn a' Chleibh,Inveraray to Crianlarich,1,916.3,3006,56.39023,-4.83563
Beinn Bhuidhe,Inveraray to Crianlarich,1,948.5,3112,56.326686,-4.906709
Beinn Sheasgarnaich,Glen Lyon to Glen Dochart & Loch Tay,2,1077.4,3535,56.510254,-4.579217
Beinn Mhanach,Loch Rannoch to Glen Lyon,2,952.5,3125,56.534032,-4.646042
Meall nan Eun,Glen Etive to Glen Lochy,3,928.1,3045,56.561176,-4.942926
Beinn nan Aighenan,Glen Etive to Glen Lochy,3,959.0,3146,56.520349,-5.011178
Beinn a' Chochuill,Glen Etive to Glen Lochy,3,980.0,3215,56.44979,-5.068552
Beinn Eunaich,Glen Etive to Glen Lochy,3,989.0,3245,56.450352,-5.026639
Stob Coir' an Albannaich,Glen Etive to Glen Lochy,3,1044.9,3428,56.554903,-4.979809
Beinn Sgulaird,Loch Linnhe to Loch Etive,3,937.0,3074,56.56624,-5.170399
Binnein Beag,Fort William to Loch Treig & Loch Leven,4,943.0,3094,56.766961,-4.911161
Stob a' Choire Mheadhoin,Fort William to Loch Treig & Loch Leven,4,1105.0,3625,56.823684,-4.760199
Binnein Mor,Fort William to Loch Treig & Loch Leven,4,1130.0,3707,56.754376,-4.925796
Beinn na Lap,Loch Treig to Loch Ericht,4,935.0,3068,56.78939,-4.659977
Carn Dearg,Loch Treig to Loch Ericht,4,941.0,3087,56.759922,-4.589888
Beinn Eibhinn,Loch Treig to Loch Ericht,4,1103.3,3620,56.825255,-4.542077
Aonach Beag,Loch Treig to Loch Ericht,4,1115.8,3661,56.833498,-4.529175
Meall Buidhe,Knoydart to Glen Kingie,10,945.5,3102,57.031543,-5.546333
Garbh Chioch Mhor,Knoydart to Glen Kingie,10,1012.9,3323,57.008556,-5.444322
Sgurr na Ciche,Knoydart to Glen Kingie,10,1040.2,3413,57.013451,-5.456871
Gulvain,Mallaig to Fort William,10,987.0,3238,56.936211,-5.284527
An Socach,Loch Duich to Cannich,11,919.7,3017,57.25755,-5.171311
Sgurr nan Ceathramhnan,Loch Duich to Cannich,11,1149.7,3772,57.254911,-5.222732
Carn nan Gobhar,Killilan to Inverness,12,992.3,3256,57.363304,-5.024544
An Riabhachan,Killilan to Inverness,12,1129.0,3704,57.362437,-5.104745
Bidein a' Choire Sheasgaich,Kyle of Lochalsh to Garve,12,945.0,3100,57.41971,-5.250472
Lurg Mhor,Kyle of Lochalsh to Garve,12,987.0,3238,57.413091,-5.223666
Sgurr Choinnich,Kyle of Lochalsh to Garve,12,999.3,3279,57.451026,-5.207916
Maoile Lunndaidh,Kyle of Lochalsh to Garve,12,1004.9,3297,57.464477,-5.111002
Sgurr a' Chaorachain,Kyle of Lochalsh to Garve,12,1053.0,3455,57.452501,-5.189284
Ruadh Stac Mor,Loch Maree to Loch Broom,14,918.7,3014,57.726781,-5.329288
Beinn Tarsuinn,Loch Maree to Loch Broom,14,933.8,3064,57.702051,-5.291634
Sgurr Ban,Loch Maree to Loch Broom,14,989.0,3245,57.718538,-5.265903
Mullach Coire Mhic Fhearchair,Loch Maree to Loch Broom,14,1015.2,3331,57.708995,-5.271357
